Again?,Rating,Summary,Tag,Title,URL,Ingredients,Directions,Tags
100%,4.0,Use this master formula as your guide—but feel free to get creative with the add-ins. A dried chile? Sure! A few sprigs of herbs from your windowsill? Why not?,recipe,Slow-Cooked Eggplant with Lemon and Fennel Seeds,/recipes/food/views/slow-cooked-eggplant-with-lemon-and-fennel-seeds,"1 lb. fairy tale eggplants, halved lengthwise if large1/2 head of garlicZest of 1 lemon, removed in wide strips1/2 cup extra-virgin olive oil3/4 tsp. fennel seeds3/4 tsp. kosher salt1 Tbsp. fresh lemon juice","Place a rack in middle of oven and preheat to 350°F. Toss eggplant, garlic, lemon zest, oil, fennel seeds, and salt in a shallow 2-qt. baking dish to combine.
                                                                            Turn garlic cut side down, then roast eggplant, tossing 2 or 3 times, until golden brown, very tender, and crisp around edges and on cut sides, 70–80 minutes. Let cool slightly, then add lemon juice and toss to coat.",Bon AppétitSideEggplantGarlicLemonVegetarianVeganWheat/Gluten-FreeDairy Free
0%,0.0,This is a unique and slightly peculiar British cake; you'd be hard pressed to find another baked good with the same psychedelic squares and level of geometric satisfaction.,recipe,Lemon-Lime Battenberg,/recipes/food/views/lemon-and-lime-battenberg,"225g (1 cup / 2 sticks) butter, softened, plus extra for greasing225g (1 cup plus 2 Tbsp) granulated sugar4 eggs225g (1 3/4 cups) self-rising flour50g (1/2 cup) ground almondsGrated zest and juice of 1 unwaxed lemonYellow and green gel food coloringsGrated zest and juice of 1 lime4 tbsp fine-cut lime marmaladeConfectioners' sugar, to dust500g (about 1 pound) block of marzipanSpecial Equipment20 x 20cm (8-inch square) cake tin.","Preheat the oven to 350°F180°C/160°C fan/gas 4, grease the cake tin and line it with baking parchment, allowing the parchment to overhang at the edges. Divide the tin cavity in half by pulling up the center of the parchment and folding a tall pleat to separate the halves. Make sure the pleat is as close to the center as possible.
                                                                            Cream the butter and sugar together in a bowl for 4–5 minutes, using a stand mixer or an electric hand-held whisk, until pale and fluffy. Beat in the eggs, one at a time, adding 1–2 tablespoons of the flour if the mixture curdles.
                                                                            In a separate bowl, combine the flour and ground almonds. Gradually add the dry mixture to the wet mixture until a thick batter forms, then scoop half the mixture into a separate bowl.
                                                                            Add the lemon juice, lemon zest and a little yellow food coloring to one half of the batter, and do the same to the other half with the lime juice, lime zest and green food coloring, mixing until fully combined.
                                                                            Spread the lemon mixture into one half of the tin and the lime mixture into the other half, with the parchment dividing them, and bake for 20–25 minutes or until risen and golden. Allow the cakes to cool for 5 minutes in the tin, then transfer to a wire rack to cool completely.
                                                                            Use a serrated knife to trim the edges off the cooled sponges. Carefully cut the sides that have colored in the oven, as they can look off-putting if used in the Battenberg. Measure the height of the baked sponge with a ruler and slice the cake into strips the same width as the height, forming a square cross section. Mine are usually 2x2cm (3/4x3/4 inches). This will create perfect squares that stack properly on top of one another.
                                                                            Gently warm the lime marmalade in a small saucepan to loosen it and make it easier to spread, then pass it through a sieve. Stick one lemon strip of cake and one lime strip together using some of the lime marmalade, then stack the alternate color on top of the bottom layer to create the checkerboard effect with the four strips.
                                                                            Lightly dust the worktop with confectioners' sugar, then roll out the marzipan into a large rectangle, trimming the edges so the rectangle is approximately 18x20cm (7x8-inches). Brush the top and sides of the assembled cake with the remaining marmalade, then place top-side down on to the marzipan along the short edge. Brush the face-up side of the cake with more marmalade before tightly rolling it up in the marzipan until it is covered. Press in the final section of marzipan or trim if it looks too long.
                                                                            Trim the ends of the cake using a serrated knife and transfer the Battenberg to a plate or cake stand. The cake will keep for up to 1 week in an airtight container.",HarperCollinsHarperCollinsCakeLemonLimeDessertBakeLemon JuiceLime JuiceAlmond
100%,4.0,"In summer, raw corn kernels add crunch and sweetness to any salad and can be enjoyed freshly sliced, right off the cob.",recipe,Summer Salad with Lemon Dijon Dressing,/recipes/food/views/summer-salad-with-lemon-dijon-dressing,"2 cups chopped fresh spinach1/4 cup chopped asparagus1/2 cup chopped red and orange bell pepper2 tablespoons fresh corn kernels2 tablespoons chopped fresh basil leaves1/4 avocado4 ounces grilled tofu, chicken, or fishLemon Dijon Dressing Recipe","In a bowl, toss together all the ingredients until everything is well coated with the dressing, then serve.",HarperCollinsHarperCollinsSaladSpinachAsparagusBell PepperCornBasilAvocadoQuick and HealthyHealthy
0%,0.0,Bring all your ingredients out to the grill on a baking sheet for easy cleanup later.,recipe,"Grilled Pork Chops with Plums, Halloumi, and Lemon",/recipes/food/views/grilled-pork-chops-with-plums-halloumi-and-lemon,"4 Tbsp. extra-virgin olive oil, divided, plus more1 tsp. honey4 bone-in pork rib chops (about 1"" thick), patted dryKosher salt, freshly ground pepper4 ripe medium red or black plums (about 1 lb.), halved1 lemon, halved, seeds removed8 oz. Halloumi cheese, sliced into 1/2""-thick planks2 Tbsp. torn oregano leavesAleppo-style pepper or crushed red pepper flakes (for serving)","Prepare a grill for medium-high heat; oil grate. Combine honey and 2 Tbsp. oil in a large resealable plastic bag. Season pork chops generously with salt and pepper and add to bag. Seal, pressing out air, and massage chops to coat.
                                                                            Place plums, lemon, and Halloumi on a rimmed baking sheet and drizzle with 2 Tbsp. oil; toss to coat. Season plums and lemon with salt, then season everything with pepper.
                                                                            Grill pork over medium-high, turning occasionally with tongs and moving around if needed to prevent flare-ups, until an instant-read thermometer inserted into the center (about 1/2"" from the bone) registers 130°F, 6–8 minutes. Transfer to a cutting board and let rest 10 minutes.
                                                                            Meanwhile, grill plums, lemon (cut side down), and Halloumi, turning plums and cheese once or twice, until grill marks appear and plums start to release their juices, about 4 minutes. Transfer plums, lemon, and Halloumi to cutting board with pork and let cool 1 minute. Slice each plum half into 3 wedges and tear Halloumi into 1"" pieces.
                                                                            Cut pork away from bone and slice 1/2"" thick. Arrange meat on plates; discard bones. Spoon plums and Halloumi around and on top of meat, dividing evenly. Squeeze juice from grilled lemon over; season with more salt and pepper. Top with oregano, sprinkle with some Aleppo-style pepper, and drizzle with a little oil.",Bon AppétitDinnerPlumPork ChopPorkOreganoCheese
86%,3.5,"Humble white vinegar does double duty here, tenderizing chicken thighs while giving them a tart flavor accentuated by a super-easy charred lemon–garlic sauce.",recipe,Lemon Chicken Thighs,/recipes/food/views/lemon-chicken-thighs,"4 skin-on, bone-in chicken thighsKosher salt, freshly ground pepper1/4 cup white wine vinegar4 garlic cloves, crushed2 lemons, halved1 1/2 tsp. honey1/2 tsp. Aleppo-style pepper3 Tbsp. extra-virgin olive oil","Pat chicken thighs dry and season well with salt and black pepper. Place in a large resealable plastic bag and add vinegar. Seal bag and gently massage chicken to ensure all thighs are coated in vinegar. Chill 1 hour.
                                                                            Preheat oven to 400°F. Remove chicken thighs from bag and pat dry with paper towels. The drier the skin, the crispier it will be when cooked.
                                                                            Place chicken thighs, skin side down, in a dry large cast-iron skillet and set over medium heat. Cook undisturbed until they easily release from the pan, about 4 minutes. Continue to cook, moving chicken around occasionally to ensure the skin is cooking evenly, until golden brown, 8–10 minutes. Add garlic and transfer skillet to oven. Bake until chicken is cooked through, 10–12 minutes. Transfer chicken and garlic to a plate.
                                                                            Set skillet over medium-high heat and cook lemons, cut side down, until edges are deeply charred (they should be almost black), about 5 minutes. Transfer to plate with chicken and garlic and let cool slightly.
                                                                            Squeeze lemon juice into a small bowl; add garlic, honey, and Aleppo-style pepper and whisk to combine. Whisk in oil and any accumulated juices on plate with chicken. Season vinaigrette with salt and black pepper.
                                                                            Drizzle half of vinaigrette on a platter and set chicken on top. Serve with remaining vinaigrette alongside.",Bon AppétitDinnerChickenLemonGarlicHoneyRoastBake
0%,0.0,"The cheesecake has a little lemon in the filling, giving it a lovely hint of tartness. When topped with the velvety sweet curd, the flavors truly sing.",recipe,Lemon Cheesecake,/recipes/food/views/lemon-ricotta-cheesecake-donna-hay,"1/2 quantity Classic Lemon Curd or 3/4 cup (240g) store-bought lemon curd, chilled1 quantity Ricotta Cheesecake base and filling, baked and chilled",Spread the lemon curd over the cheesecake to serve.,HarperCollinsHarperCollinsDessertCheesecakeLemonCream CheeseRicottaLemon Juice
100%,3.0,"Sea bream, common in the Mediterranean, has lean flesh with a light, delicate flavor. If you can’t find it, porgy or snapper are suitable subs.",recipe,Sea Bream Crudo with Lemon and Olives,/recipes/food/views/sea-bream-crudo-with-lemon-and-olives,"2 plum tomatoes, halved crosswiseKosher salt1/2 lemon1 1/2 lb. highest-quality sea bream, skin, bones, and blood lines removed1 1/2 cups arugula1/3 cup Niçoise olives1/2 small red onion, very thinly sliced1/2 cup fresh lemon juiceExtra-virgin olive oil (for drizzling)Flaky sea salt","Grate tomatoes on a box grater until all the flesh is grated and there is just skin left; discard skin. Transfer tomato pulp to a small bowl and season lightly with kosher salt.
                                                                            Cut lemon half into quarters; remove seeds and white pith in the center. Thinly slice quarters.
                                                                            Place fish on a cutting board. Hold a long knife at a 45° angle and cut fish with the grain into 1/4""-thick slices (use a sharp blade and aim for one long, clean stroke). Cut each slice in half crosswise.
                                                                            Arrange sea bream on chilled plates. Spoon a bit of grated tomato around and scatter lemon pieces over. Top with arugula, olives, and onion. Pour lemon juice over, then drizzle with oil and sprinkle with sea salt.",Bon AppétitSeafoodFishAppetizerRawTomatoItalianArugulaOliveLemon
64%,3.0,There may be more sauce than you need to serve with the chicken. Use the leftovers on mashed potatoes or simply freeze for another time.,recipe,Chicken Fricassée with Lemon Mustard Sauce,/recipes/food/views/chicken-fricassee-with-lemon-mustard-sauce-109106,"1/4 cup vegetable oil1 (3 1/2- to 4-lb) free-range chicken, cut into 8 serving pieces2 teaspoons salt1 teaspoon black pepper3/4 cup plus 2 tablespoons all-purpose flour3 carrots, chopped2 onions, chopped5 garlic cloves, chopped2 cups heavy cream1 1/4 cups dry white wine1/4 cup fresh lemon juice1/4 cup Dijon mustard1 teaspoon fresh thyme leaves1 Turkish or 1/2 California bay leaf1/2 cup water3 tablespoons unsalted butter","Put oven rack in middle position and preheat oven to 500°F.
                                                                            Heat oil in a 12-inch heavy skillet over moderate heat until hot but not smoking. While oil is heating, sprinkle chicken with 1 teaspoon salt and 1/2 teaspoon pepper, then dredge, 1 piece at a time, in 3/4 cup flour (total), knocking off excess. Brown in 4 batches, turning over occasionally, until golden, 5 to 6 minutes per batch. Transfer to a platter as browned.
                                                                            Stir together carrots, onions, garlic, cream, wine, lemon juice, mustard, thyme, bay leaf, and remaining teaspoon salt and 1/2 teaspoon pepper in a 5- to 6-quart heavy pot, then bring to a gentle boil over moderate heat, stirring occasionally. Add chicken (chicken will not be completely submerged) and partially cover pot, then braise in oven 25 minutes.
                                                                            Reduce oven temperature to 350°F and braise 20 minutes more. Transfer chicken to a clean platter and keep warm, loosely covered with foil.
                                                                            Pour cooking liquid through a sieve into a bowl, discarding solids, then stir in water. Melt butter in a 2 1/2- to 3-quart heavy saucepan over moderately low heat, then whisk in remaining 2 tablespoons flour and cook roux, whisking constantly, 3 minutes. Add cooking liquid in a fast stream, whisking vigorously, then cook at a bare simmer, whisking constantly, 5 minutes.
                                                                            Serve chicken with sauce.",FrenchMilk/CreamChickenMustardPoultryBraiseRoastSautéQuick & EasyDinnerLemonWhite WineWinterSimmerGourmetPeanut FreeTree Nut FreeSoy Free
0%,0.0,"If you have ever peeled, seeded, and sliced cucumbers for salads, this recipe will hopefully change your mind. Smashing the cucumbers augments the vegetable's ability to absorb seasonings.",recipe,Smashed Cucumber Salad with Lemon and Celery Salt,/recipes/food/views/smashed-cucumber-salad-with-lemon-and-celery-salt,"5 mini seedless or Persian cucumbers or 1 small English hothouse cucumber (about 12 oz.)Kosher salt1 (3x1"") strip lemon zest, very thinly sliced2 Tbsp. fresh lemon juice2 Tbsp. extra-virgin olive oil1/4 tsp. celery salt, plus more for serving","Gently smash cucumbers with a rolling pin or the back of a heavy knife just to break open. Tear into irregular 2"" pieces and place in a medium bowl; season lightly with salt. Let sit at least 5 minutes and up to 1 hour.
                                                                            Meanwhile, whisk lemon zest, lemon juice, oil, and 1/4 tsp. celery salt in a medium bowl to combine; season dressing with salt.
                                                                            Drain cucumbers, discarding any liquid they have released. Add to bowl with dressing and toss several times to coat. Sprinkle with more celery salt.",Bon AppétitSaladCucumberSideLemonQuick & EasyVegetarianVeganLemon JuiceWheat/Gluten-Free
100%,4.0,"Fresh grapefruit, lime, and lemon juices balance the sweetness of this bubbly punch.",recipe,Champagne Punch with Brandy and Citrus,/recipes/food/views/champagne-punch-241174,"1/2 cup sugar1/2 cup water1 cup white grape juice1 1/2 cups fresh grapefruit juice (preferably pink or ruby red)1/4 cup fresh lime juice1/4 cup fresh lemon juice1 cup dry white wine1/4 cup Cognac or other brandy1/2 cup packed mint leaves1 navel orange, cut into 1/2-inch pieces1 lime, cut into 1/2-inch pieces1 lemon, cut into 1/2-inch pieces1 (750-ml) bottle Champagne or other sparkling white wine, chilled","Bring sugar and water to a boil in a small saucepan, stirring until sugar has dissolved, then transfer to a bowl and cool syrup completely (or quick-chill by setting bowl in an ice bath and stirring occasionally until cool).
                                                                            Stir together juices, wine, Cognac, mint, fruit, and cooled syrup in a large pitcher. Chill, covered, until cold, about 1 hour. Stir in Champagne.",ChampagnePunchAlcoholicCocktail PartyNew Year's DayNew Year's EveCocktailGrapefruitLemonLimeOrangeMintCognac/ArmagnacWhite WineChillEngagement PartyGrapeGourmetDrink
100%,4.0,Here the garlic- and lemon-infused pan dripping are mixed into a citrusy za’atar oil and spooned over the fall-apart meat.,recipe,Za’atar Chicken with Garlicky Yogurt,/recipes/food/views/za-atar-chicken-with-garlicky-yogurt,"4 chicken legs (thigh and drumstick; about 2 1/2 lb. total)2 medium red onions, cut into 1""-thick wedges2 heads of garlic, halved crosswise, plus 2 cloves1 lemon, quartered, seeds removedKosher salt1/3 cup extra-virgin olive oil1 1/2 cups plain whole-milk Greek yogurt3 Tbsp. za’atar1 tsp. ground coriander1 tsp. finely grated lemon zest1 tsp. finely grated lime zest","Preheat oven to 325°F. Pat chicken legs dry with paper towels. Arrange chicken, onions, halved garlic heads, and lemon in a 13x9"" baking dish; season liberally with salt (remember to season both sides of chicken). Pour in oil and toss everything to coat. Turn garlic cut side down and nestle it in so it is in contact with the baking dish. Roast, rotating pan halfway through, until meat is almost falling off the bone, 50–60 minutes.
                                                                            Meanwhile, finely grate 1 garlic clove into a small bowl. Add yogurt, a big pinch of salt, and 1 Tbsp. water and mix well. Set aside yogurt sauce.
                                                                            Remove baking dish from oven and transfer onions, garlic, and lemon to a plate. Increase oven temperature to 425°F and continue to roast chicken until skin is golden brown, 10–15 minutes more. Transfer chicken to a cutting board and let rest 10 minutes. Set aside pan with juices.
                                                                            Finely grate remaining garlic clove into another small bowl. Add za’atar, coriander, lemon zest, and lime zest. Pour reserved juices in pan into za’atar mixture until you’ve reached an oily consistency (about 1/3 cup). Mix in a pinch of salt.
                                                                            Spread reserved yogurt sauce over a platter and arrange chicken legs on top. Scatter onions, garlic, and lemon around; drizzle with za’atar oil.",Bon AppétitDinnerEntertainingChickenRoastOnionGarlicLemonCitrusSoy FreePeanut FreeWheat/Gluten-FreeTree Nut Free
88%,3.5,"Butterfly your chicken with confidence—the flatter the bird, the more contact with the cast-iron pan—and the more crackly skin to enjoy at the end!",recipe,Chicken Under a Skillet,/recipes/food/views/chicken-under-a-skillet-with-lemon-pan-sauce,"1 (3 1/2–4-lb.) chicken, patted dryKosher salt, freshly ground pepper2 Tbsp. extra-virgin olive oil1 medium shallot, finely chopped1/2 tsp. crushed red pepper flakes1/4 cup dry white wine1/4 cup fresh lemon juice2 Tbsp. unsalted butter, cut into pieces1/4 cup chopped parsley","Place chicken on a work surface and use kitchen shears to snip off wing tips (they get in the way of the breasts during cooking; save them for stock). Turn chicken breast side down and use shears to cut along both sides of the backbone to remove it (save for stock along with those wing tips).
                                                                            Open up chicken and use the tip of a knife to cut a shallow line along either side of the rectangular bone and strip of cartilage in the middle of breast. Turn chicken skin side up and press down on center of breast to flatten chicken—you should hear the breastbone crack. Season generously on both sides with salt and pepper and let sit at room temperature at least 20 minutes and up to 1 hour.
                                                                            Preheat oven to 350°F. Heat a dry large cast-iron skillet over medium. Pat chicken dry with paper towels and season all over again with a light sprinkling of salt. Add oil to skillet, then chicken, arranging skin side down. Cover the bottom of another smaller cast-iron skillet with foil and place over chicken to weigh it down. Cook, peeking under foil and lifting chicken a bit to check, until skin is deep golden brown and crisp all over, 15–18 minutes. Remove top skillet and turn chicken skin side up. Transfer skillet to oven and roast chicken just until cooked through (an instant-read thermometer inserted into the thickest part of breast should register 160°F), 15–20 minutes. Carefully remove skillet from oven and place chicken skin side up (to preserve that crispness) on a plate to rest.
                                                                            Set skillet over medium-low heat and add shallot and red pepper flakes. Cook, stirring often, until shallot is softened and golden, about 3 minutes. Add wine and lemon juice and swirl skillet to emulsify. Reduce heat to low and add butter; cook, swirling to combine, until melted. Pour in juices that have pooled under chicken on plate; mix in parsley. Return chicken to skillet to serve.",Bon AppétitDinnerChickenRoastButterWhite WineShallotLemon Juice
100%,4.0,"Toss asparagus ribbons, sliced sugar snap peas, and red onion simply in lemon juice to mound on top of paprika-spiced lamb patties for a springtime burger like no other.",recipe,Spiced Lamb Burgers with Spring Slaw,/recipes/food/views/spiced-lamb-burgers-with-asparagus-snap-pea-slaw,"Yogurt sauce:3/4 cup plain full-fat Greek yogurt2 Tbsp. extra-virgin olive oil1 tsp. finely grated lemon zest3/4 tsp. kosher salt1 small garlic clove, finely gratedBurgers and assembly:1 tsp. smoked paprika1/4 tsp. cayenne pepper2 tsp. kosher salt, divided1 1/2 tsp. freshly ground black pepper, divided1 1/2 lb. ground lamb2 Tbsp. extra-virgin olive oil1/2 bunch asparagus, peeled into ribbons6 oz. sugar snap peas, thinly sliced on a diagonal1/2 small red onion, thinly sliced3 Tbsp. fresh lemon juice4 potato rolls, lightly toasted","Make the yogurt sauce:                                        Whisk yogurt, oil, lemon zest, salt, and garlic in a medium bowl until combined.
                                     Do Ahead: Yogurt sauce can be made 1 day ahead. Cover and chill.
                                    Make and assemble the burgers:                                        Mix paprika, cayenne, 1 1/2 tsp. salt, and 1 tsp. black pepper in a small bowl.
                                                                            Shape lamb into 4 patties about 3/4"" thick. Season with spice mixture on both sides.
                                                                            Heat oil in a large skillet, preferably cast iron, over medium-high. Working in batches if needed, cook patties until underside is browned, 5–6 minutes. Turn and cook until browned on other side, 4–5 minutes for medium-rare. Transfer to a plate and let rest 10 minutes.
                                                                            Meanwhile, toss asparagus, snap peas, onion, lemon juice, and remaining 1/2 tsp. salt and 1/2 tsp. pepper in a medium bowl.
                                                                            Generously spread yogurt sauce on cut sides of buns. Build each burger with a lamb patty and a mound of slaw. You will probably have extra slaw left over—serve it alongside.",SpringSummerLambYogurtLemonGarlicPaprikaAsparagusPeaSugar Snap PeaOnionHamburgerBackyard BBQSoy FreePeanut FreeTree Nut Free
